time [s/256],breathing_rate [rpm](/api/datatype/33/),minute_ventilation [mL/min](/api/datatype/36/),sleep_position [NA](/api/datatype/270/),activity [g](/api/datatype/49/),heart_rate [bpm](/api/datatype/19/),cadence [spm](/api/datatype/53/)
388980335771,14,13465.92,,0.125,112,0
388980336027,14,13465.92,,0.0390625,113,0
388980336283,14,13651.84,,0.09375,114,0
388980336539,13,13651.84,,0.10546875,114,0
388980336795,12,13651.84,,0.1171875,113,0
388980337051,11,13651.84,,0.125,113,0
388980337307,11,13651.84,,0.07421875,112,0
388980337563,11,13651.84,,0.03515625,111,0
388980337819,11,13399.519999999999,,0.0390625,109,0
388980338075,11,13399.519999999999,,0.03125,109,0
388980338331,11,13399.519999999999,,0.0234375,108,0
388980338587,10,13399.519999999999,,0.03515625,108,0
388980338843,10,14063.519999999999,,0.13671875,108,0
388980339099,10,14063.519999999999,,0.078125,108,0
388980339355,10,14063.519999999999,,0.078125,109,0
388980339611,10,14063.519999999999,,0.04296875,109,0
388980339867,11,15471.199999999999,,0.03125,110,0
388980340123,12,15471.199999999999,,0.03515625,111,0
388980340379,12,15471.199999999999,,0.01953125,112,0
388980340635,13,15471.199999999999,,0.03125,113,0
388980340891,13,15471.199999999999,,0.06640625,114,0
388980341147,12,16374.24,,0.04296875,115,0
388980341403,12,16374.24,,0.03125,115,0
388980341659,12,16374.24,,0.109375,117,0
388980341915,12,16374.24,,0.07421875,117,0
388980342171,12,16374.24,,0.0703125,117,0
388980342427,12,16374.24,,0.03125,118,0
388980342683,12,16374.24,,0.01953125,119,0
388980342939,12,14873.599999999999,,0.0234375,118,0
388980343195,11,14873.599999999999,,0.01953125,119,0
388980343451,11,14873.599999999999,,0.02734375,119,0
388980343707,11,14036.959999999999,,0.04296875,119,0
388980343963,11,14036.959999999999,,0.0546875,119,0
388980344219,11,14036.959999999999,,0.0390625,119,0
388980344475,11,16175.039999999999,,0.03125,120,0
388980344731,12,16175.039999999999,,0.0859375,120,0
388980344987,13,16175.039999999999,,0.02734375,120,0
388980345243,13,16560.16,,0.02734375,118,0
388980345499,14,16560.16,,0.015625,118,0
388980345755,14,16560.16,,0.0234375,119,0
388980346011,14,16560.16,,0.07421875,118,0
388980346267,14,16560.16,,0.06640625,118,0
388980346523,14,15683.679999999998,,0.0390625,117,0
388980346779,14,15683.679999999998,,0.03125,116,0
388980347035,14,15683.679999999998,,0.05859375,116,0
388980347291,13,15683.679999999998,,0.046875,115,0
388980347547,14,17091.360000000001,,0.0625,113,0
388980347803,14,17091.360000000001,,0.03125,113,0
388980348059,14,17091.360000000001,,0.06640625,113,0
388980348315,14,17091.360000000001,,0.04296875,114,0
388980348571,14,17091.360000000001,,0.0546875,115,0
388980348827,14,13983.84,,0.12890625,116,0
388980349083,14,13983.84,,0.0546875,116,0
388980349339,14,13983.84,,0.08203125,116,0
388980349595,14,13983.84,,0.05078125,116,0
388980349851,14,13983.84,,0.03125,116,0
388980350107,14,13983.84,,0.01953125,117,0
388980350363,14,15989.119999999999,,0.02734375,118,0
388980350619,14,15989.119999999999,,0.02734375,118,0
388980350875,14,15989.119999999999,,0.01953125,119,0
388980351131,14,15989.119999999999,,0.01953125,120,0
388980351387,14,15989.119999999999,,0.0234375,120,0
388980351643,14,15989.119999999999,,0.0234375,120,0
388980351899,14,15989.119999999999,,0.03125,121,0
388980352155,14,15550.879999999999,,0.0234375,120,0
388980352411,13,15550.879999999999,,0.01953125,119,0
388980352667,13,15550.879999999999,,0.02734375,119,0
388980352923,13,15550.879999999999,,0.0234375,119,0
388980353179,13,14169.76,,0.02734375,118,0
388980353435,12,14169.76,,0.03125,119,0
388980353691,12,14169.76,,0.02734375,119,0
388980353947,12,14793.92,,0.046875,119,0
388980354203,12,14793.92,,0.04296875,119,0
388980354459,12,14793.92,,0.0390625,118,0
